Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,model_name,n_neighbours,number_of_splits,poly_degree,weights,Variance_MAE,Variance_MSE,Variance_r2,mean_MAE,mean_MSE,mean_r2
2022-04-30 23:16:50,8.9s,6f693d69e4ec46169164eb7aa62350c0,,PROJECT,file:///Users/co2yd4bcjgh6/Library/CloudStorage/OneDrive-Personal/myWorkspace/school_code/itu/4-semester/lsda/assignment3,co2yd4bcjgh6,FINISHED,lin_reg,8,9,4,uniform,0.6912839031903065,435.48988601933024,0.02896392185234239,5.088950117255129,45.70365514151393,0.5593006509274593
2022-04-30 23:16:38,8.8s,645be0b3766841ea955537ba490df629,,PROJECT,file:///Users/co2yd4bcjgh6/Library/CloudStorage/OneDrive-Personal/myWorkspace/school_code/itu/4-semester/lsda/assignment3,co2yd4bcjgh6,FINISHED,lin_reg,8,8,4,uniform,0.5778373396331693,104.81245025923833,0.026006260631513352,4.837042145955919,38.315952630822174,0.6151313971387075
2022-04-30 23:16:26,8.6s,764abdfdde5e4445957a21013ff2321a,,PROJECT,file:///Users/co2yd4bcjgh6/Library/CloudStorage/OneDrive-Personal/myWorkspace/school_code/itu/4-semester/lsda/assignment3,co2yd4bcjgh6,FINISHED,lin_reg,8,7,4,uniform,0.4118758056138474,80.43913914851808,0.031143459358244332,4.798555228806765,37.715026445863785,0.6171732488736877
2022-04-30 23:16:14,8.5s,68d632503e2944358311a74a9c734ad2,,PROJECT,file:///Users/co2yd4bcjgh6/Library/CloudStorage/OneDrive-Personal/myWorkspace/school_code/itu/4-semester/lsda/assignment3,co2yd4bcjgh6,FINISHED,lin_reg,8,6,4,uniform,0.3921548733410651,62.5955549493033,0.013404255756644395,4.770098183039852,37.355347716069595,0.6571176266225041
2022-04-30 23:16:03,8.3s,0ffdb0e37c6e4ee2a68fecafe3b4ae8d,,PROJECT,file:///Users/co2yd4bcjgh6/Library/CloudStorage/OneDrive-Personal/myWorkspace/school_code/itu/4-semester/lsda/assignment3,co2yd4bcjgh6,FINISHED,lin_reg,8,5,4,uniform,0.6054391120384653,94.42588852465678,0.012851079550051627,4.832185366004741,38.3484636411941,0.6453541254872261
2022-04-30 23:15:51,8.1s,da6dc49535fd471eb515c97003d0f50e,,PROJECT,file:///Users/co2yd4bcjgh6/Library/CloudStorage/OneDrive-Personal/myWorkspace/school_code/itu/4-semester/lsda/assignment3,co2yd4bcjgh6,FINISHED,lin_reg,8,4,4,uniform,0.13864026907502763,11.031158591685973,0.0066924638747394415,4.924939033047755,39.393585038571956,0.6366722223976076
2022-04-30 23:15:40,7.9s,53019bd273ce4ee3b1542f47a1364518,,PROJECT,file:///Users/co2yd4bcjgh6/Library/CloudStorage/OneDrive-Personal/myWorkspace/school_code/itu/4-semester/lsda/assignment3,co2yd4bcjgh6,FINISHED,lin_reg,8,3,4,uniform,0.2995244519878473,43.10471766218931,0.01328098851141169,5.083784147214335,42.0508500082344,0.6037021093128906
2022-04-30 23:15:28,9.2s,a5c11eb0ab3c47f78471501a79877266,,PROJECT,file:///Users/co2yd4bcjgh6/Library/CloudStorage/OneDrive-Personal/myWorkspace/school_code/itu/4-semester/lsda/assignment3,co2yd4bcjgh6,FINISHED,lin_reg,8,2,4,uniform,0.36874671183596375,51.127074823300525,7.306312815986777e-8,5.250375529189586,44.62224289259137,0.5899500866723636
2022-04-30 23:14:42,8.8s,cfdce5a912624d4890772f5ab3d410f4,,PROJECT,file:///Users/co2yd4bcjgh6/Library/CloudStorage/OneDrive-Personal/myWorkspace/school_code/itu/4-semester/lsda/assignment3,co2yd4bcjgh6,FINISHED,lin_reg,8,9,3,uniform,0.5851751781988221,103.02380042481985,0.013746277949806556,4.970459511800979,41.007251305718164,0.5978945063221494
2022-04-30 23:14:28,8.7s,d25ed9a6c4b9424e9fc8608e2ec056b5,,PROJECT,file:///Users/co2yd4bcjgh6/Library/CloudStorage/OneDrive-Personal/myWorkspace/school_code/itu/4-semester/lsda/assignment3,co2yd4bcjgh6,FINISHED,lin_reg,8,8,3,uniform,0.6646041500385973,130.8403090671697,0.03371308587680107,4.9923816888837536,41.0945653765662,0.589016915068864
